model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,4.78,-1.0,0.0,0.0,4.986926078796387,-4.394830226898193
Ours,4.8,-1.0,0.0,0.0,4.224688529968262,-6.497961044311523
Ours,4.82,-1.0,0.0,0.0,3.1265578269958496,-4.222929000854492
Ours,4.84,-1.0,0.0,0.0,4.085306167602539,-4.075902938842773
Ours,4.86,-1.0,0.0,0.0,6.455621719360352,-7.096631050109863
Ours,4.88,-1.0,0.0,0.0,3.514643430709839,-3.290022611618042
Ours,4.9,-1.0,0.0,0.0,4.464601039886475,-7.323782920837402
Ours,4.92,-1.0,0.0,0.0,3.8108365535736084,-5.264167785644531
Ours,4.94,-1.0,0.0,0.0,3.5888941287994385,-3.637446403503418
Ours,4.96,-1.0,0.0,0.0,3.46244478225708,-3.941977024078369
Ours,4.98,-1.0,0.0,0.0,4.7637858390808105,-4.2629923820495605
Ours,5.0,-1.0,0.0,0.0,2.9372105598449707,-3.6974496841430664
Ours,5.0200000000000005,-1.0,0.0,0.0,5.8315653800964355,-8.177511215209961
Ours,5.04,-1.0,0.0,0.0,7.1160197257995605,-4.659211158752441
Ours,5.0600000000000005,-1.0,0.0,0.0,4.412136554718018,-6.840633869171143
Ours,5.08,-1.0,0.0,0.0,3.4685137271881104,-5.280582904815674
Ours,5.1000000000000005,-1.0,0.0,0.0,3.2411539554595947,-4.38133430480957
Ours,5.12,-1.0,0.0,0.0,3.620476245880127,-4.928877830505371
Ours,5.14,-1.0,0.0,0.0,3.9498188495635986,-4.27314567565918
Ours,5.16,-1.0,0.0,0.0,3.914201259613037,-5.479573726654053
Ours,5.18,-1.0,0.0,0.0,5.9717559814453125,-6.909364700317383
Ours,5.2,-1.0,0.0,0.0,5.06812858581543,-3.04838228225708
Ours,5.22,-1.0,0.0,0.0,4.069885730743408,-3.449110507965088
Ours,5.24,-1.0,0.0,0.0,4.210239887237549,-3.2967207431793213
Ours,5.26,-1.0,0.0,0.0,6.481290340423584,-3.7849197387695312
Ours,5.28,-1.0,0.0,0.0,5.8896589279174805,-6.482398509979248
Ours,5.3,-1.0,0.0,0.0,4.101344108581543,-7.4371337890625
Ours,5.32,-1.0,0.0,0.0,2.1506824493408203,-8.128910064697266
Ours,5.34,-1.0,0.0,0.0,4.326862335205078,-3.811819076538086
Ours,5.36,-1.0,0.0,0.0,5.130064010620117,-3.019594192504883
Ours,5.38,-1.0,0.0,0.0,4.648672103881836,-6.7062201499938965
Ours,5.4,-1.0,0.0,0.0,4.933753967285156,-6.708167552947998
Ours,5.42,-1.0,0.0,0.0,4.0339202880859375,-2.651244640350342
Ours,5.44,-1.0,0.0,0.0,4.50738525390625,-7.561924934387207
Ours,5.46,-1.0,0.0,0.0,4.140657424926758,-5.285306930541992
Ours,5.48,-1.0,0.0,0.0,4.328421115875244,-3.3763232231140137
Ours,5.5,-1.0,0.0,0.0,3.82496976852417,-3.9671239852905273
Ours,5.5200000000000005,-1.0,0.0,0.0,6.996507167816162,-4.618986129760742
Ours,5.54,-1.0,0.0,0.0,5.336285591125488,-6.115772247314453
Ours,5.5600000000000005,-1.0,0.0,0.0,4.889687538146973,-4.438098430633545
Ours,5.58,-1.0,0.0,0.0,5.17177152633667,-7.670133590698242
Ours,5.6000000000000005,-1.0,0.0,0.0,4.595638751983643,-2.7588024139404297
Ours,5.62,-1.0,0.0,0.0,4.844213962554932,-6.430662631988525
Ours,5.64,-1.0,0.0,0.0,6.330177307128906,-5.188246726989746
Ours,5.66,-1.0,0.0,0.0,4.674029350280762,-1.8610196113586426
Ours,5.68,-1.0,0.0,0.0,8.562580108642578,-6.704713821411133
Ours,5.7,-1.0,0.0,0.0,5.825090408325195,-7.831725597381592
Ours,5.72,-1.0,0.0,0.0,5.459479808807373,-6.027250289916992
Ours,5.74,-1.0,0.0,0.0,6.217796325683594,-5.757641792297363
Ours,5.76,-1.0,0.0,0.0,4.3112406730651855,-2.800342559814453
Ours,5.78,-1.0,0.0,0.0,4.025601863861084,-6.409257411956787
Ours,5.8,-1.0,0.0,0.0,8.071733474731445,-7.697258472442627
Ours,5.82,-1.0,0.0,0.0,6.024830341339111,-5.737957954406738
Ours,5.84,-1.0,0.0,0.0,2.1767773628234863,-5.900456428527832
Ours,5.86,-1.0,0.0,0.0,5.006715297698975,-5.9609856605529785
Ours,5.88,-1.0,0.0,0.0,3.7716472148895264,-5.802967071533203
Ours,5.9,-1.0,0.0,0.0,4.792496681213379,-5.4868998527526855
Ours,5.92,-1.0,0.0,0.0,3.4915804862976074,-4.25473165512085
Ours,5.94,-1.0,0.0,0.0,5.21490478515625,-4.39663028717041
Ours,5.96,-1.0,0.0,0.0,6.166411876678467,-4.493287563323975
Ours,5.98,-1.0,0.0,0.0,4.39088249206543,-4.576329231262207
Ours,6.0,-1.0,0.0,0.0,5.062283039093018,-4.323939800262451
Ours,6.0200000000000005,-1.0,0.0,0.0,5.252115726470947,-6.715160846710205
Ours,6.04,-1.0,0.0,0.0,7.051362037658691,-8.844425201416016
Ours,6.0600000000000005,-1.0,0.0,0.0,3.8385720252990723,-2.8982014656066895
Ours,6.08,-1.0,0.0,0.0,7.277780532836914,-5.028874397277832
Ours,6.1000000000000005,-1.0,0.0,0.0,4.059600830078125,-3.6919147968292236
Ours,6.12,-1.0,0.0,0.0,6.503454208374023,-6.498872756958008
Ours,6.140000000000001,-1.0,0.0,0.0,2.731271743774414,-6.997120380401611
Ours,6.16,-1.0,0.0,0.0,5.509331226348877,-7.328845024108887
Ours,6.18,-1.0,0.0,0.0,5.631078720092773,-1.1710968017578125
Ours,6.2,-1.0,0.0,0.0,6.468887805938721,-6.771177768707275
Ours,6.22,-1.0,0.0,0.0,6.156831741333008,-6.30183744430542
Ours,6.24,-1.0,0.0,0.0,6.300612926483154,-7.664321422576904
Ours,6.26,-1.0,0.0,0.0,4.434282302856445,-5.046816349029541
Ours,6.28,-1.0,0.0,0.0,2.8455231189727783,-3.325681209564209
Ours,6.3,-1.0,0.0,0.0,4.563828468322754,-6.093533039093018
Ours,6.32,-1.0,0.0,0.0,3.949979543685913,-3.311830997467041
Ours,6.34,-1.0,0.0,0.0,2.1774260997772217,-3.7150073051452637
Ours,6.36,-1.0,0.0,0.0,5.985193252563477,-7.615548133850098
Ours,6.38,-1.0,0.0,0.0,4.848170280456543,-2.509937286376953
Ours,6.4,-1.0,0.0,0.0,5.155900955200195,-4.5149383544921875
Ours,6.42,-1.0,0.0,0.0,5.383608341217041,-6.664483547210693
Ours,6.44,-1.0,0.0,0.0,4.871376991271973,-3.563852310180664
Ours,6.46,-1.0,0.0,0.0,5.641266345977783,-4.193252086639404
Ours,6.48,-1.0,0.0,0.0,4.335231781005859,-4.417656898498535
Ours,6.5,-1.0,0.0,0.0,4.895684242248535,-6.607851505279541
Ours,6.5200000000000005,-1.0,0.0,0.0,4.0347371101379395,-3.2257239818573
Ours,6.54,-1.0,0.0,0.0,5.327282905578613,-5.1380720138549805
Ours,6.5600000000000005,-1.0,0.0,0.0,3.0451533794403076,-6.862192630767822
Ours,6.58,-1.0,0.0,0.0,6.433011531829834,-6.304973602294922
Ours,6.6000000000000005,-1.0,0.0,0.0,4.571106910705566,-4.58722448348999
Ours,6.62,-1.0,0.0,0.0,6.461623191833496,-4.367403030395508
Ours,6.640000000000001,-1.0,0.0,0.0,4.481529235839844,-4.438471794128418
Ours,6.66,-1.0,0.0,0.0,3.9845242500305176,-7.955049991607666
Ours,6.68,-1.0,0.0,0.0,4.64821195602417,-5.553837299346924
Ours,6.7,-1.0,0.0,0.0,5.385488510131836,-3.650604724884033
Ours,6.72,-1.0,0.0,0.0,5.700654029846191,-6.5435333251953125
Ours,6.74,-1.0,0.0,0.0,5.545192241668701,-5.12532377243042
Ours,6.76,-1.0,0.0,0.0,4.945513725280762,-6.080525875091553
Ours,6.78,-1.0,0.0,0.0,7.567480564117432,-7.463370323181152
Ours,6.8,-1.0,0.0,0.0,5.523911476135254,-4.010231018066406
Ours,6.82,-1.0,0.0,0.0,8.009608268737793,-5.516280174255371
Ours,6.84,-1.0,0.0,0.0,3.4402918815612793,-2.7446775436401367
Ours,6.86,-1.0,0.0,0.0,3.5337722301483154,-5.9413275718688965
Ours,6.88,-1.0,0.0,0.0,3.2372584342956543,-4.581009387969971
Ours,6.9,-1.0,0.0,0.0,5.399598121643066,-7.066624641418457
Ours,6.92,-1.0,0.0,0.0,5.223161220550537,-4.937195777893066
Ours,6.94,-1.0,0.0,0.0,6.957724571228027,-2.5087528228759766
Ours,6.96,-1.0,0.0,0.0,5.435219764709473,-7.565408706665039
Ours,6.98,-1.0,0.0,0.0,6.62185001373291,-3.3452157974243164
Ours,7.0,-1.0,0.0,0.0,2.8351659774780273,-4.344696044921875
Ours,7.0200000000000005,-1.0,0.0,0.0,3.613645076751709,-5.456237316131592
Ours,7.04,-1.0,0.0,0.0,5.2332763671875,-4.757032871246338
Ours,7.0600000000000005,-1.0,0.0,0.0,7.897286415100098,-7.847348213195801
