model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,3.58,-1.0,0.0,0.0,5.627738952636719,-7.907407760620117
Ours,3.6,-1.0,0.0,0.0,5.539008140563965,-1.5737061500549316
Ours,3.62,-1.0,0.0,0.0,5.214240550994873,-5.909490585327148
Ours,3.64,-1.0,0.0,0.0,5.134057521820068,-4.526635646820068
Ours,3.66,-1.0,0.0,0.0,5.095559120178223,-5.6637372970581055
Ours,3.68,-1.0,0.0,0.0,5.3782057762146,-3.256411552429199
Ours,3.7,-1.0,0.0,0.0,5.342564105987549,-5.366223335266113
Ours,3.72,-1.0,0.0,0.0,5.9533891677856445,-8.652448654174805
Ours,3.74,-1.0,0.0,0.0,3.671870708465576,-2.6935184001922607
Ours,3.7600000000000002,-1.0,0.0,0.0,6.02299690246582,-4.775372505187988
Ours,3.7800000000000002,-1.0,0.0,0.0,6.449997901916504,-7.900333404541016
Ours,3.8000000000000003,-1.0,0.0,0.0,7.5579681396484375,-4.614166259765625
Ours,3.8200000000000003,-1.0,0.0,0.0,2.7799177169799805,-6.089726448059082
Ours,3.84,-1.0,0.0,0.0,3.9732677936553955,-8.046553611755371
Ours,3.86,-1.0,0.0,0.0,6.478405475616455,-7.446359157562256
Ours,3.88,-1.0,0.0,0.0,5.7116875648498535,-8.813405990600586
Ours,3.9,-1.0,0.0,0.0,4.4606194496154785,-4.315584182739258
Ours,3.92,-1.0,0.0,0.0,4.888553619384766,-4.621888637542725
Ours,3.94,-1.0,0.0,0.0,7.72141170501709,-8.450160026550293
Ours,3.96,-1.0,0.0,0.0,4.871310234069824,-3.905032157897949
Ours,3.98,-1.0,0.0,0.0,5.067221641540527,-4.165386199951172
Ours,4.0,-1.0,0.0,0.0,5.954315185546875,-7.018774032592773
Ours,4.0200000000000005,-1.0,0.0,0.0,6.995244979858398,-8.281869888305664
Ours,4.04,-1.0,0.0,0.0,3.3311517238616943,-2.755669355392456
Ours,4.0600000000000005,-1.0,0.0,0.0,4.789251804351807,-3.6490607261657715
Ours,4.08,-1.0,0.0,0.0,5.264707088470459,-5.0397162437438965
Ours,4.1,-1.0,0.0,0.0,5.295498371124268,-1.5664663314819336
Ours,4.12,-1.0,0.0,0.0,5.992119312286377,-5.516695022583008
Ours,4.14,-1.0,0.0,0.0,5.387200355529785,-9.193405151367188
Ours,4.16,-1.0,0.0,0.0,4.552069664001465,-2.9416699409484863
Ours,4.18,-1.0,0.0,0.0,5.703848361968994,-7.0306315422058105
Ours,4.2,-1.0,0.0,0.0,6.2015180587768555,-4.620854377746582
Ours,4.22,-1.0,0.0,0.0,4.519003868103027,-6.877712726593018
Ours,4.24,-1.0,0.0,0.0,7.323014259338379,-3.722846508026123
Ours,4.26,-1.0,0.0,0.0,7.637782573699951,-8.901405334472656
Ours,4.28,-1.0,0.0,0.0,4.50638484954834,-5.976748466491699
Ours,4.3,-1.0,0.0,0.0,7.178884983062744,-7.2023749351501465
Ours,4.32,-1.0,0.0,0.0,10.145530700683594,-11.446022987365723
Ours,4.34,-1.0,0.0,0.0,3.938509464263916,-3.9122493267059326
Ours,4.36,-1.0,0.0,0.0,6.177779674530029,-7.271875858306885
Ours,4.38,-1.0,0.0,0.0,4.827768325805664,-5.366733551025391
Ours,4.4,-1.0,0.0,0.0,6.430032730102539,-6.355310440063477
Ours,4.42,-1.0,0.0,0.0,4.247737407684326,-7.61032247543335
Ours,4.44,-1.0,0.0,0.0,4.2314252853393555,-4.392050743103027
Ours,4.46,-1.0,0.0,0.0,4.187376499176025,-4.949141025543213
Ours,4.48,-1.0,0.0,0.0,4.862112998962402,-6.2379150390625
Ours,4.5,-1.0,0.0,0.0,2.440981864929199,-6.23856782913208
Ours,4.5200000000000005,-1.0,0.0,0.0,3.5143656730651855,-5.3554816246032715
Ours,4.54,-1.0,0.0,0.0,3.808413505554199,-3.7269644737243652
Ours,4.5600000000000005,-1.0,0.0,0.0,3.844926357269287,-7.045017242431641
Ours,4.58,-1.0,0.0,0.0,4.290377140045166,-6.485719203948975
Ours,4.6000000000000005,-1.0,0.0,0.0,4.535944938659668,-5.944260120391846
Ours,4.62,-1.0,0.0,0.0,4.124290466308594,-6.720026969909668
Ours,4.64,-1.0,0.0,0.0,5.231801986694336,-5.012906074523926
Ours,4.66,-1.0,0.0,0.0,3.3541440963745117,-4.997685432434082
Ours,4.68,-1.0,0.0,0.0,4.443707466125488,-4.603519439697266
Ours,4.7,-1.0,0.0,0.0,4.149380683898926,-6.509799480438232
Ours,4.72,-1.0,0.0,0.0,6.76625919342041,-5.824470520019531
Ours,4.74,-1.0,0.0,0.0,4.82063627243042,-6.292648792266846
Ours,4.76,-1.0,0.0,0.0,5.386742115020752,-3.459249496459961
Ours,4.78,-1.0,0.0,0.0,4.091156482696533,-5.596959114074707
Ours,4.8,-1.0,0.0,0.0,4.511890888214111,-6.128107070922852
Ours,4.82,-1.0,0.0,0.0,4.809446334838867,-4.771134376525879
Ours,4.84,-1.0,0.0,0.0,3.953824996948242,-8.570013046264648
Ours,4.86,-1.0,0.0,0.0,5.764715194702148,-2.408423900604248
Ours,4.88,-1.0,0.0,0.0,4.282007694244385,-3.5796573162078857
Ours,4.9,-1.0,0.0,0.0,3.614044666290283,-8.269440650939941
Ours,4.92,-1.0,0.0,0.0,4.040000915527344,-4.471216201782227
Ours,4.94,-1.0,0.0,0.0,4.232592582702637,-7.7378458976745605
Ours,4.96,-1.0,0.0,0.0,3.22835111618042,-1.2485437393188477
Ours,4.98,-1.0,0.0,0.0,4.164111137390137,-5.304616928100586
Ours,5.0,-1.0,0.0,0.0,6.000964641571045,-5.779361248016357
Ours,5.0200000000000005,-1.0,0.0,0.0,6.599468231201172,-5.328149795532227
Ours,5.04,-1.0,0.0,0.0,5.193775653839111,-6.515559196472168
Ours,5.0600000000000005,-1.0,0.0,0.0,4.795637130737305,-5.087436676025391
Ours,5.08,-1.0,0.0,0.0,3.374671697616577,-7.092520236968994
Ours,5.1000000000000005,-1.0,0.0,0.0,5.3613786697387695,-4.85342264175415
Ours,5.12,-1.0,0.0,0.0,6.137282848358154,-6.799676418304443
Ours,5.14,-1.0,0.0,0.0,3.6866891384124756,-4.4761061668396
Ours,5.16,-1.0,0.0,0.0,5.1972479820251465,-4.715750217437744
Ours,5.18,-1.0,0.0,0.0,3.760596752166748,-3.4325718879699707
Ours,5.2,-1.0,0.0,0.0,4.920346260070801,-4.360568523406982
Ours,5.22,-1.0,0.0,0.0,5.422022819519043,-4.642461776733398
Ours,5.24,-1.0,0.0,0.0,4.668113708496094,-6.3203349113464355
Ours,5.26,-1.0,0.0,0.0,9.993779182434082,-8.595261573791504
Ours,5.28,-1.0,0.0,0.0,2.9251184463500977,-2.0947775840759277
Ours,5.3,-1.0,0.0,0.0,6.366971015930176,-8.046944618225098
Ours,5.32,-1.0,0.0,0.0,6.072665691375732,-9.152961730957031
Ours,5.34,-1.0,0.0,0.0,5.304444789886475,-8.51942253112793
Ours,5.36,-1.0,0.0,0.0,5.800063133239746,-5.518759727478027
Ours,5.38,-1.0,0.0,0.0,6.481155872344971,-2.104687213897705
