model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,2.96,-1.0,0.0,0.0,7.6217570304870605,-7.0956501960754395
Ours,2.98,-1.0,0.0,0.0,3.5160884857177734,-3.7785747051239014
Ours,3.0,-1.0,0.0,0.0,4.927953720092773,-8.654406547546387
Ours,3.02,-1.0,0.0,0.0,4.898066520690918,-6.667545318603516
Ours,3.04,-1.0,0.0,0.0,5.20347261428833,-8.5184326171875
Ours,3.06,-1.0,0.0,0.0,4.04896879196167,-7.930473327636719
Ours,3.08,-1.0,0.0,0.0,4.697082996368408,-5.1060404777526855
Ours,3.1,-1.0,0.0,0.0,4.926906108856201,-5.73841667175293
Ours,3.12,-1.0,0.0,0.0,4.906679630279541,-2.4818553924560547
Ours,3.14,-1.0,0.0,0.0,5.071587085723877,-5.159237861633301
Ours,3.16,-1.0,0.0,0.0,5.414003849029541,-6.694248199462891
Ours,3.18,-1.0,0.0,0.0,5.391107082366943,-6.796894073486328
Ours,3.2,-1.0,0.0,0.0,4.375076770782471,-7.907715797424316
Ours,3.22,-1.0,0.0,0.0,4.978619575500488,-5.389155864715576
Ours,3.24,-1.0,0.0,0.0,6.7876176834106445,-6.834904670715332
Ours,3.2600000000000002,-1.0,0.0,0.0,3.7151098251342773,-2.4370293617248535
Ours,3.2800000000000002,-1.0,0.0,0.0,5.755178451538086,-3.105210304260254
Ours,3.3000000000000003,-1.0,0.0,0.0,2.302368402481079,-8.464689254760742
Ours,3.3200000000000003,-1.0,0.0,0.0,7.0305399894714355,-7.119154453277588
Ours,3.34,-1.0,0.0,0.0,5.638491153717041,-5.735803604125977
Ours,3.36,-1.0,0.0,0.0,4.09425687789917,-5.238643646240234
Ours,3.38,-1.0,0.0,0.0,6.34326171875,-5.979255676269531
Ours,3.4,-1.0,0.0,0.0,4.467960834503174,-8.896445274353027
Ours,3.42,-1.0,0.0,0.0,5.218633651733398,-6.336467266082764
Ours,3.44,-1.0,0.0,0.0,6.538364410400391,-6.895205974578857
Ours,3.46,-1.0,0.0,0.0,5.556702136993408,-6.82678747177124
Ours,3.48,-1.0,0.0,0.0,2.701575756072998,-3.637157917022705
Ours,3.5,-1.0,0.0,0.0,4.903092384338379,-2.802157402038574
Ours,3.52,-1.0,0.0,0.0,5.0760579109191895,-1.8390302658081055
Ours,3.54,-1.0,0.0,0.0,4.5561113357543945,-3.813178300857544
Ours,3.56,-1.0,0.0,0.0,6.090445518493652,-8.509819984436035
Ours,3.58,-1.0,0.0,0.0,6.369552135467529,-6.805261611938477
Ours,3.6,-1.0,0.0,0.0,4.425850868225098,-6.377989768981934
Ours,3.62,-1.0,0.0,0.0,5.72066593170166,-6.406620502471924
Ours,3.64,-1.0,0.0,0.0,5.231224060058594,-6.1191277503967285
Ours,3.66,-1.0,0.0,0.0,5.041634559631348,-5.781190395355225
Ours,3.68,-1.0,0.0,0.0,6.189112186431885,-7.485991477966309
Ours,3.7,-1.0,0.0,0.0,6.345836162567139,-7.714563369750977
Ours,3.72,-1.0,0.0,0.0,4.898592948913574,-4.293092250823975
Ours,3.74,-1.0,0.0,0.0,5.9205827713012695,-2.9576025009155273
