time_s,pitch_rad,pitch_deg,pitch_rate_rad_s,command_vy,command_wz,impulse_torque_pitch,torque_ankle_L_joint,torque_ankle_R_joint
1.6600000000000001,0.00963370781391859,0.5519707798957825,-0.01200190931558609,0.0,0.0,0.0,0.026442714035511017,0.18915462493896484
1.68,0.009730870835483074,0.557537853717804,0.04408486187458038,0.0,0.0,0.0,-0.04747483879327774,0.02162889391183853
1.7,0.009780924767255783,0.5604057312011719,0.005266934633255005,0.0,0.0,0.0,0.14337463676929474,-0.19136588275432587
1.72,0.009504280053079128,0.544555127620697,-0.009830377995967865,0.0,0.0,0.0,0.18226595222949982,-0.16559934616088867
1.74,0.007826830260455608,0.44844433665275574,-0.05263867974281311,0.0,0.0,0.0,0.019092649221420288,-0.0682804137468338
1.76,0.00726148160174489,0.4160522520542145,0.02385975420475006,0.0,0.0,0.0,-0.0328667014837265,0.13193154335021973
1.78,0.007815923541784286,0.44781944155693054,0.033841267228126526,0.0,0.0,0.0,0.11440876871347427,0.07700835913419724
1.8,0.008112113922834396,0.46478989720344543,-0.007880497723817825,0.0,0.0,0.0,-0.2258281409740448,0.21292805671691895
1.82,0.007586899679154158,0.43469732999801636,-0.042317748069763184,0.0,0.0,0.0,0.051884882152080536,-0.17474326491355896
1.84,0.0069786361418664455,0.3998464047908783,-0.0030149146914482117,0.0,0.0,0.0,0.14280791580677032,-0.22688420116901398
1.86,0.007349656894803047,0.4211043119430542,0.0021875575184822083,0.0,0.0,0.0,0.14120499789714813,-0.22881080210208893
1.8800000000000001,0.008324922993779182,0.4769829511642456,0.05475802719593048,0.0,0.0,0.0,-0.007590770721435547,-0.11093822121620178
1.9000000000000001,0.008676554076373577,0.4971299469470978,0.009831735864281654,0.0,0.0,0.0,-0.23098066449165344,0.3872792422771454
1.92,0.011217447929084301,0.642712414264679,0.11668607592582703,0.0,0.0,0.0,-0.11010388284921646,0.12235325574874878
1.94,0.012733143754303455,0.7295554280281067,0.018836811184883118,0.0,0.0,0.0,0.003274098038673401,-0.09982124716043472
1.96,0.012605278752744198,0.7222293019294739,0.006565459072589874,0.0,0.0,0.0,0.0058725252747535706,-0.03168271481990814
1.98,0.012173683382570744,0.6975007057189941,-0.006630808115005493,0.0,0.0,0.0,0.14983803033828735,-0.018417231738567352
2.0,0.012129438109695911,0.6949656009674072,0.009994633495807648,0.0,0.0,0.0,0.15664736926555634,-0.031767528504133224
2.02,0.012333724647760391,0.7066704034805298,0.013352073729038239,0.0,0.0,0.0,0.12042801082134247,0.08742789924144745
2.04,0.012875846587121487,0.7377316951751709,0.013420656323432922,0.0,0.0,0.0,0.00824950821697712,0.012148939073085785
2.06,0.01356520690023899,0.7772291302680969,0.022894926369190216,0.0,0.0,0.0,0.006205230951309204,-0.09321856498718262
2.08,0.013613007962703705,0.7799679040908813,-0.0012524835765361786,0.0,0.0,0.0,0.12431871145963669,-0.008168362081050873
2.1,0.013025673106312752,0.7463160753250122,-0.04510059952735901,0.0,0.0,0.0,0.061537083238363266,0.07639576494693756
2.12,0.013522863388061523,0.7748029828071594,0.004256591200828552,0.0,0.0,0.0,0.1555611491203308,0.027142629027366638
2.14,0.014039724133908749,0.8044169545173645,-0.022539645433425903,0.0,0.0,0.0,0.06223411113023758,0.021836046129465103
2.16,0.014711002819240093,0.8428784012794495,0.028180941939353943,0.0,0.0,0.0,0.019321568310260773,-0.15423400700092316
2.18,0.0144671481102705,0.8289065361022949,0.00582614541053772,0.0,0.0,0.0,0.08727054297924042,-0.14095118641853333
2.2,0.014096906408667564,0.8076932430267334,0.00608263211324811,0.0,0.0,0.0,-0.09410440921783447,0.029321327805519104
2.22,0.014555774629116058,0.8339844346046448,-0.012265678495168686,0.0,0.0,0.0,-0.10402120649814606,0.1652289777994156
2.24,0.014380189590156078,0.82392418384552,-0.011572375893592834,0.0,0.0,0.0,-0.12004488706588745,0.11155980080366135
2.2600000000000002,0.013562452979385853,0.7770712971687317,-0.0741313248872757,0.0,0.0,0.0,0.16050240397453308,-0.167323037981987
2.2800000000000002,0.013440331444144249,0.7700742483139038,0.0016414523124694824,0.0,0.0,0.0,0.12650609016418457,-0.2568952441215515
2.3000000000000003,0.013392780907452106,0.7673498392105103,0.011174716055393219,0.0,0.0,0.0,0.11102916300296783,-0.22110062837600708
2.32,0.012917207553982735,0.7401014566421509,0.01920761913061142,0.0,0.0,0.0,0.08064838498830795,-0.036290109157562256
2.34,0.012832689099013805,0.735258936882019,-0.01246187835931778,0.0,0.0,0.0,0.06773963570594788,0.10740794241428375
2.36,0.013096963055431843,0.750400722026825,-0.013425879180431366,0.0,0.0,0.0,0.19672097265720367,0.16320502758026123
2.38,0.014667264185845852,0.8403723239898682,0.08769747614860535,0.0,0.0,0.0,0.009331680834293365,-0.026517849415540695
2.4,0.01656425930559635,0.949062168598175,0.06231023371219635,0.0,0.0,0.0,-0.06506101042032242,-0.13258132338523865
2.42,0.015199472196400166,0.8708656430244446,-0.09444975852966309,0.0,0.0,0.0,0.1252044290304184,-0.1303516924381256
2.44,0.014016315340995789,0.8030757308006287,-0.027151010930538177,0.0,0.0,0.0,0.21507108211517334,-0.08531342446804047
2.46,0.014637895859777927,0.8386896848678589,0.024836547672748566,0.0,0.0,0.0,0.19663479924201965,0.08685974776744843
2.48,0.0160204004496336,0.917901337146759,0.02755458652973175,0.0,0.0,0.0,-0.10114852339029312,-0.20136599242687225
2.5,0.018118761479854584,1.0381286144256592,0.08413975685834885,0.0,0.0,0.0,-0.16330769658088684,0.13922807574272156
2.52,0.018141670152544975,1.0394411087036133,-0.00461244210600853,0.0,0.0,0.0,-0.06404520571231842,0.1591615080833435
2.54,0.017605407163500786,1.0087155103683472,-0.04310966283082962,0.0,0.0,0.0,0.1679658144712448,-0.0022400319576263428
2.56,0.016987983137369156,0.9733397364616394,-0.01903754472732544,0.0,0.0,0.0,0.4635103940963745,-0.1592513918876648
2.58,0.016497928649187088,0.9452617168426514,-0.005031675100326538,0.0,0.0,0.0,0.3667489290237427,-0.18767252564430237
2.6,0.016932738944888115,0.9701744914054871,0.05420823022723198,0.0,0.0,0.0,0.0012253448367118835,0.2128540575504303
2.62,0.017429139465093613,0.9986161589622498,0.049506284296512604,0.0,0.0,0.0,-0.10261371731758118,0.21228519082069397
2.64,0.018421437591314316,1.055470585823059,0.01995866745710373,0.0,0.0,0.0,-0.018651410937309265,0.18375591933727264
2.66,0.017009122297167778,0.9745509028434753,-0.1058449000120163,0.0,0.0,0.0,0.09476976096630096,-0.05319957807660103
2.68,0.016056790947914124,0.919986367225647,-0.025880247354507446,0.0,0.0,0.0,0.18660688400268555,-0.11751071363687515
2.7,0.015180893242359161,0.8698011040687561,-0.022102437913417816,0.0,0.0,0.0,0.3234425485134125,-0.13322705030441284
2.72,0.015086742118000984,0.8644066452980042,0.001673378050327301,0.0,0.0,0.0,-0.029103565961122513,0.23582713305950165
2.74,0.015861772000789642,0.9088125824928284,0.02808934450149536,0.0,0.0,0.0,0.007131859660148621,-0.02255316823720932
2.7600000000000002,0.015321304090321064,0.8778460621833801,-0.03563079237937927,0.0,0.0,0.0,0.11407144367694855,-0.009041041135787964
2.7800000000000002,0.014825282618403435,0.8494261503219604,-0.025622081011533737,0.0,0.0,0.0,0.13574756681919098,-0.19522181153297424
2.8000000000000003,0.014343264512717724,0.8218085169792175,0.018577056005597115,0.0,0.0,0.0,0.1521614044904709,0.031958457082509995
2.82,0.01514538936316967,0.8677669167518616,0.05800981819629669,0.0,0.0,0.0,0.13164274394512177,0.11572112143039703
2.84,0.01568421721458435,0.898639440536499,0.015558727085590363,0.0,0.0,0.0,-0.017575446516275406,0.21659448742866516
2.86,0.016914350911974907,0.9691209197044373,0.036223895847797394,0.0,0.0,0.0,-0.033896878361701965,0.1673077940940857
2.88,0.018525108695030212,1.0614105463027954,0.022311344742774963,0.0,0.0,0.0,0.009003501385450363,-0.03104012832045555
2.9,0.019147001206874847,1.0970423221588135,0.033945128321647644,0.0,0.0,0.0,-0.06372015178203583,-0.20269304513931274
2.92,0.01770908758044243,1.0146559476852417,-0.10518256574869156,0.0,0.0,0.0,0.6171660423278809,-0.37137407064437866
2.94,0.016677135601639748,0.955529510974884,-0.0001943930983543396,0.0,0.0,0.0,0.16671571135520935,-0.13355496525764465
2.96,0.01499817706644535,0.859332263469696,-0.024137716740369797,0.0,0.0,0.0,0.015654459595680237,0.18344958126544952
2.98,0.016955429688096046,0.9714745879173279,0.09668200463056564,0.0,0.0,0.0,-0.1932116448879242,0.28409063816070557
3.0,0.01735531911253929,0.9943865537643433,-0.03052694723010063,0.0,0.0,0.0,-0.3894478380680084,0.39715054631233215
3.02,0.017453918233513832,1.0000358819961548,0.005002759397029877,0.0,0.0,0.0,-0.04542998969554901,0.08514553308486938
3.04,0.01608884148299694,0.921822726726532,-0.1355184018611908,0.0,0.0,0.0,0.2719053328037262,-0.15672028064727783
3.06,0.01332874596118927,0.7636808753013611,-0.11855309456586838,0.0,0.0,0.0,0.4538988471031189,-0.6154418587684631
3.08,0.01139337569475174,0.6527923345565796,-0.05805061757564545,0.0,0.0,0.0,0.11148357391357422,-0.2957303524017334
3.1,0.011963521130383015,0.6854592561721802,0.04635462164878845,0.0,0.0,0.0,0.16599580645561218,-0.2098868191242218
3.12,0.012583284638822079,0.7209690809249878,0.03334633260965347,0.0,0.0,0.0,0.03076363168656826,-0.055420029908418655
3.14,0.012932734563946724,0.7409911155700684,0.03048389032483101,0.0,0.0,0.0,-0.2000335454940796,0.2532558739185333
3.16,0.014440855011343956,0.8274000287055969,0.05510912090539932,0.0,0.0,0.0,-0.07720889896154404,0.05088576674461365
3.18,0.01470401231199503,0.8424778580665588,-0.024183999747037888,0.0,0.0,0.0,-0.017055120319128036,0.007022663950920105
3.2,0.013796635903418064,0.7904890179634094,-0.01791045069694519,0.0,0.0,0.0,0.06314731389284134,0.21865683794021606
3.22,0.013232062570750713,0.7581413388252258,0.035422928631305695,0.0,0.0,0.0,0.051054343581199646,-0.04693243280053139
3.24,0.012394115328788757,0.710130512714386,-0.03449138253927231,0.0,0.0,0.0,0.14012980461120605,-0.12037166953086853
3.2600000000000002,0.012639341875910759,0.7241809368133545,0.0338415652513504,0.0,0.0,0.0,0.18445318937301636,-0.1650792956352234
3.2800000000000002,0.012211617082357407,0.699674129486084,-0.01837264746427536,0.0,0.0,0.0,0.23734977841377258,0.10319212079048157
3.3000000000000003,0.013514735735952854,0.7743373513221741,0.04141898453235626,0.0,0.0,0.0,-0.1587136685848236,0.24845877289772034
3.3200000000000003,0.014438670128583908,0.8272748589515686,0.014579899609088898,0.0,0.0,0.0,0.06877540051937103,0.011894039809703827
3.34,0.01385987177491188,0.7941121459007263,-0.04383459687232971,0.0,0.0,0.0,0.14484678208827972,-0.09058898687362671
3.36,0.012946524657309055,0.7417812347412109,-0.010329492390155792,0.0,0.0,0.0,0.10363196581602097,-0.0443098284304142
3.38,0.01388572622090578,0.7955935001373291,0.011375874280929565,0.0,0.0,0.0,-0.06442476809024811,0.09891130775213242
3.4,0.014438038691878319,0.8272386789321899,-0.07807569205760956,0.0,0.0,0.0,-0.07787786424160004,-0.13526466488838196
3.42,0.014219573698937893,0.8147215843200684,-0.026690978556871414,0.0,0.0,0.0,-0.04374130815267563,-0.14890246093273163
3.44,0.013251339085400105,0.7592458128929138,-0.0583709217607975,0.0,0.0,0.0,0.19177529215812683,-0.14214028418064117
3.46,0.012459502555429935,0.7138769030570984,-0.06285683065652847,0.0,0.0,0.0,0.1799149364233017,-0.012639619410037994
3.48,0.012001680210232735,0.6876456141471863,-0.0019665732979774475,0.0,0.0,0.0,0.009773913770914078,0.22424370050430298
3.5,0.011940328404307365,0.6841304302215576,-0.005405709147453308,0.0,0.0,0.0,-0.021449025720357895,-0.047684624791145325
3.52,0.012102182023227215,0.693403959274292,-0.011946404352784157,0.0,0.0,0.0,-0.18842291831970215,0.03726450353860855
3.54,0.011500774882733822,0.6589458584785461,0.011458724737167358,0.0,0.0,0.0,0.01394597440958023,0.0036232247948646545
3.56,0.011223007924854755,0.6430310010910034,-0.022412970662117004,0.0,0.0,0.0,0.03886367753148079,-0.033601269125938416
3.58,0.010287240147590637,0.589415431022644,-0.028865378350019455,0.0,0.0,0.0,0.13898342847824097,0.08904898166656494
3.6,0.009995626285672188,0.5727072358131409,0.007020622491836548,0.0,0.0,0.0,0.010588835924863815,0.20979973673820496
3.62,0.009717689827084541,0.556782603263855,-0.019672926515340805,0.0,0.0,0.0,0.023767977952957153,0.13055336475372314
3.64,0.009816054254770279,0.5624184608459473,-0.017016395926475525,0.0,0.0,0.0,-0.019743598997592926,-0.13922205567359924
3.66,0.010457528755068779,0.5991722941398621,0.06007964909076691,0.0,0.0,0.0,0.028529420495033264,-0.1215575635433197
3.68,0.011048301123082638,0.6330210566520691,0.016202136874198914,0.0,0.0,0.0,0.04227155074477196,-0.2031581848859787
3.7,0.010191250592470169,0.583915650844574,-0.05101970583200455,0.0,0.0,0.0,-0.013091892004013062,-0.09004096686840057
3.72,0.010236402973532677,0.5865026712417603,0.07511404156684875,0.0,0.0,0.0,-0.029075177386403084,0.1865215301513672
3.74,0.011191755533218384,0.6412403583526611,0.047793637961149216,0.0,0.0,0.0,-0.22929199039936066,0.4123101532459259
3.7600000000000002,0.013176440261304379,0.7549543976783752,0.07611735910177231,0.0,0.0,0.0,-0.02478945255279541,0.10847971588373184
3.7800000000000002,0.014073190279304981,0.8063344359397888,0.030596725642681122,0.0,0.0,0.0,0.15314021706581116,-0.040967606008052826
3.8000000000000003,0.015225273557007313,0.872343897819519,-0.057670772075653076,0.0,0.0,0.0,0.15855376422405243,-0.3277532756328583
3.8200000000000003,0.012218102812767029,0.7000457048416138,-0.17305243015289307,0.0,0.0,0.0,0.9504170417785645,-1.5162110328674316
3.84,0.009589167311787605,0.5494188070297241,-0.08914822340011597,0.0,0.0,0.0,1.018282413482666,-1.7894916534423828
3.86,0.011131691746413708,0.6377989649772644,0.047224462032318115,0.0,0.0,0.0,0.4261096715927124,-1.9579910039901733
3.88,0.009993166662752628,0.5725662708282471,-0.08746737241744995,0.0,0.0,0.0,0.5883227586746216,-0.38297638297080994
3.9,0.012197388336062431,0.6988588571548462,0.13807529211044312,0.0,0.0,0.0,0.333246648311615,-0.7085784673690796
3.92,0.013434330001473427,0.7697303891181946,0.01327010989189148,0.0,0.0,0.0,0.3013533651828766,-0.22863462567329407
3.94,0.016591504216194153,0.9506231546401978,0.12241804599761963,0.0,0.0,0.0,0.20600774884223938,-0.2920686900615692
3.96,0.01674242876470089,0.9592705368995667,-0.019309096038341522,0.0,0.0,0.0,0.06666399538516998,0.047141652554273605
3.98,0.013590499758720398,0.778678297996521,-0.07447542250156403,0.0,0.0,0.0,0.0458134189248085,0.2165619134902954
4.0,0.07748652994632721,4.439651012420654,0.08435525000095367,0.0,0.0,45.0,0.0515890046954155,0.4490462839603424
4.0200000000000005,-0.04246312007308006,-2.432957649230957,0.03412769362330437,0.0,0.0,45.0,4.848779201507568,-3.935062885284424
4.04,0.027402861043810844,1.570068359375,-0.16713319718837738,0.0,0.0,45.0,0.38881075382232666,1.4787079095840454
4.0600000000000005,0.019464828073978424,1.1152524948120117,0.029087845236063004,0.0,0.0,45.0,5.544040203094482,-5.594148635864258
4.08,0.04155885428190231,2.3811469078063965,-0.1383945494890213,0.0,0.0,45.0,1.0079270601272583,-2.74845814704895
4.1,-0.08447723835706711,-4.840189456939697,0.04210636019706726,0.0,0.0,45.0,6.742847442626953,-5.537160873413086
4.12,-0.08268244564533234,-4.7373552322387695,-0.1096859946846962,0.0,0.0,45.0,4.93687105178833,-5.564205169677734
4.14,-0.040291957557201385,-2.3085591793060303,0.05580984055995941,0.0,0.0,45.0,3.13083553314209,-7.6284565925598145
4.16,-0.059646036475896835,-3.417466163635254,-0.742874026298523,0.0,0.0,0.0,0.48377302289009094,-1.041259527206421
4.18,-0.04809220880270004,-2.7554805278778076,-0.08289408683776855,0.0,0.0,0.0,2.8459999561309814,-3.757765293121338
4.2,-0.02924702875316143,-1.6757313013076782,-0.3363947868347168,0.0,0.0,0.0,4.603353500366211,-5.830409526824951
4.22,-0.018117310479283333,-1.0380454063415527,-1.066049575805664,0.0,0.0,0.0,5.335416316986084,-5.979785919189453
4.24,-0.011326552368700504,-0.6489636301994324,-0.5959339141845703,0.0,0.0,0.0,5.040607452392578,-6.838931083679199
4.26,-0.008624161593616009,-0.4941280782222748,-0.5476827621459961,0.0,0.0,0.0,5.123261451721191,-8.07119083404541
4.28,-0.005339071620255709,-0.3059062659740448,-0.3827047348022461,0.0,0.0,0.0,4.97628116607666,-8.066617012023926
4.3,-0.0030442916322499514,-0.17442506551742554,-0.44930458068847656,0.0,0.0,0.0,4.816107749938965,-7.162418842315674
4.32,-0.0006356083904393017,-0.036417677998542786,-0.4532737731933594,0.0,0.0,0.0,4.692800045013428,-6.757640361785889
4.34,0.0005096524255350232,0.029200933873653412,-0.49212169647216797,0.0,0.0,0.0,4.467493534088135,-6.248351573944092
4.36,-0.0005714056896977127,-0.03273913636803627,-0.5208015441894531,0.0,0.0,0.0,4.166664123535156,-5.865583419799805
4.38,-0.001223118044435978,-0.070079505443573,-0.5359334945678711,0.0,0.0,0.0,3.830089807510376,-5.004527568817139
4.4,-0.004688480868935585,-0.26863017678260803,2.2330265045166016,0.0,0.0,0.0,2.311842441558838,-4.375532627105713
4.42,0.031712856143713,1.8170127868652344,0.8065991401672363,0.0,0.0,0.0,-1.7779498100280762,1.2045786380767822
4.44,0.015988348051905632,0.9160648584365845,-0.9326182007789612,0.0,0.0,0.0,1.111560583114624,-0.5957866311073303
4.46,0.002775725908577442,0.15903738141059875,-1.1558171510696411,0.0,0.0,0.0,-0.3219374716281891,-0.24625423550605774
4.48,-0.015707489103078842,-0.8999728560447693,-0.7101114392280579,0.0,0.0,0.0,0.029243990778923035,1.6260961294174194
4.5,-0.002271458972245455,-0.13014501333236694,0.7799410820007324,0.0,0.0,0.0,-1.2399866580963135,3.1341893672943115
4.5200000000000005,0.0020766770467162132,0.11898483335971832,-0.27109527587890625,0.0,0.0,0.0,-2.438389778137207,5.256258487701416
4.54,-0.011722458526492119,-0.6716474294662476,-0.4829854965209961,0.0,0.0,0.0,-3.4830384254455566,4.49094820022583
4.5600000000000005,-0.008846383541822433,-0.5068604350090027,0.2997598648071289,0.0,0.0,0.0,-2.1496505737304688,2.4706194400787354
4.58,-0.001939102541655302,-0.111102394759655,0.20310449600219727,0.0,0.0,0.0,-1.0066890716552734,2.771588087081909
4.6000000000000005,-0.0003971846599597484,-0.02275700494647026,-0.17128968238830566,0.0,0.0,0.0,-1.2427129745483398,3.185737371444702
4.62,-0.002559433691203594,-0.14664475619792938,-0.041275978088378906,0.0,0.0,0.0,-0.874549388885498,2.8374693393707275
4.64,0.0014965684385970235,0.08574705570936203,0.17204833030700684,0.0,0.0,0.0,-0.8241922855377197,1.2670663595199585
4.66,0.002835305407643318,0.16245102882385254,-0.0757799819111824,0.0,0.0,0.0,-0.09139519929885864,-0.07165493071079254
4.68,0.0013586117420345545,0.07784271985292435,-0.07422173023223877,0.0,0.0,0.0,1.2718836069107056,-1.0780909061431885
4.7,0.002667568624019623,0.15284042060375214,0.07503312826156616,0.0,0.0,0.0,1.303411841392517,-0.20076191425323486
4.72,0.007659471593797207,0.4388554096221924,0.28170299530029297,0.0,0.0,0.0,1.1357280015945435,-0.5619868636131287
4.74,0.015142824500799179,0.8676199316978455,0.33549368381500244,0.0,0.0,0.0,0.7820442914962769,-0.5311977863311768
4.76,0.02128804288804531,1.2197149991989136,0.13667762279510498,0.0,0.0,0.0,0.22638815641403198,-0.6380797624588013
4.78,0.024956056848168373,1.4298768043518066,0.1311829388141632,0.0,0.0,0.0,0.2731960117816925,-0.10841264575719833
4.8,0.025522325187921524,1.4623215198516846,0.02120603434741497,0.0,0.0,0.0,-0.028085023164749146,0.1925809681415558
