model_name,shift_set,trial_idx,time_s,pitch_deg,pitch_rate_rad_s,roll_deg,roll_rate_rad_s
DR,low_friction,0.0,1.36,-1.2476601600646973,0.08914470672607422,-5.512309551239014,8.41352653503418
DR,low_friction,0.0,1.3800000000000001,-1.1222808361053467,-0.27460193634033203,-4.607964038848877,7.512936592102051
DR,low_friction,0.0,1.4000000000000001,-1.2461469173431396,-0.3528633117675781,-6.050624370574951,8.479475975036621
DR,low_friction,0.0,1.42,-0.927175760269165,0.1770029067993164,-5.430853366851807,8.722268104553223
DR,low_friction,0.0,1.44,-1.289292335510254,-1.2333431243896484,-4.711924076080322,9.210182189941406
DR,low_friction,0.0,1.46,-1.032895565032959,0.011166572570800781,-5.574761390686035,7.831295013427734
DR,low_friction,0.0,1.48,-0.9366300702095032,-1.0944976806640625,-7.751891613006592,9.370277404785156
DR,low_friction,0.0,1.5,-1.9095593690872192,-0.773320198059082,-6.483679294586182,8.982748031616211
DR,low_friction,0.0,1.52,-1.8168469667434692,0.37741756439208984,-6.854537010192871,7.3380584716796875
DR,low_friction,0.0,1.54,-1.498544692993164,0.20277881622314453,-7.252742290496826,9.31434154510498
DR,low_friction,0.0,1.56,-1.7567193508148193,-0.764225959777832,-6.04754114151001,8.246123313903809
DR,low_friction,0.0,1.58,-2.1290085315704346,-0.4330005645751953,-5.470371246337891,7.55241060256958
DR,low_friction,0.0,1.6,-2.116699457168579,-0.10598945617675781,-5.455005645751953,10.927515029907227
DR,low_friction,0.0,1.62,-1.8394886255264282,0.6094284057617188,-6.385538578033447,8.71573543548584
DR,low_friction,0.0,1.6400000000000001,-0.7959678173065186,0.8624734878540039,-7.997981071472168,10.721187591552734
DR,low_friction,0.0,1.6600000000000001,-0.7681918144226074,-0.907475471496582,-5.897424697875977,8.257879257202148
DR,low_friction,0.0,1.68,-1.1824543476104736,-0.6220922470092773,-5.307143688201904,7.679271697998047
DR,low_friction,0.0,1.7,-1.4967710971832275,-0.4112396240234375,-5.003923416137695,8.437878608703613
DR,low_friction,0.0,1.72,-1.2688359022140503,-0.19442081451416016,-5.832004547119141,8.606207847595215
DR,low_friction,0.0,1.74,-1.3044286966323853,0.18005657196044922,-6.574246406555176,7.196313858032227
DR,low_friction,0.0,1.76,-0.7329407334327698,-0.2974529266357422,-7.470060348510742,7.531193733215332
DR,low_friction,0.0,1.78,-0.8211049437522888,-0.6689872741699219,-5.037479877471924,9.488040924072266
DR,low_friction,0.0,1.8,-1.2518073320388794,-0.6894130706787109,-5.219709396362305,7.859231472015381
DR,low_friction,0.0,1.82,-1.2328195571899414,-0.2372264862060547,-4.931467056274414,7.839682579040527
DR,low_friction,0.0,1.84,-1.269393801689148,-0.948664665222168,-5.893399715423584,8.199275970458984
DR,low_friction,0.0,1.86,-1.1704434156417847,0.03448963165283203,-5.055514335632324,10.096745491027832
DR,low_friction,0.0,1.8800000000000001,-0.9795689582824707,0.13229942321777344,-7.589497089385986,8.800531387329102
DR,low_friction,0.0,1.9000000000000001,-1.5098918676376343,-0.6059083938598633,-7.5402607917785645,10.083650588989258
DR,low_friction,0.0,1.92,-1.7537622451782227,-0.34152984619140625,-6.575699806213379,8.033487319946289
DR,low_friction,0.0,1.94,-2.010998010635376,0.02794361114501953,-7.3990678787231445,9.785842895507812
DR,low_friction,0.0,1.96,-1.7706464529037476,0.12701892852783203,-6.71600341796875,9.061418533325195
DR,low_friction,0.0,1.98,-1.579674482345581,0.3155965805053711,-6.243505477905273,7.162929534912109
DR,low_friction,0.0,2.0,-1.441186547279358,-0.6378641128540039,-5.662564754486084,7.811529159545898
DR,low_friction,0.0,2.02,-2.1241750717163086,-0.13376331329345703,-3.8980674743652344,7.8698835372924805
DR,low_friction,0.0,2.04,-1.9618322849273682,0.1172494888305664,-6.134088039398193,8.120563507080078
DR,low_friction,0.0,2.06,-1.5342833995819092,-0.42294883728027344,-6.752585411071777,7.766368865966797
DR,low_friction,0.0,2.08,-1.8852736949920654,-0.6712608337402344,-3.3903584480285645,6.735513687133789
DR,low_friction,0.0,2.1,-1.899330496788025,0.1591815948486328,-5.360036373138428,7.425954341888428
DR,low_friction,0.0,2.12,-1.345803141593933,-0.05666923522949219,-6.9617438316345215,8.484450340270996
DR,low_friction,0.0,2.14,-1.1197015047073364,0.10993194580078125,-5.552811145782471,6.9214253425598145
DR,low_friction,0.0,2.16,-1.1716194152832031,-0.49669837951660156,-4.661799907684326,8.733762741088867
DR,low_friction,0.0,2.18,-0.5872674584388733,0.27456188201904297,-5.491126537322998,9.013898849487305
DR,low_friction,0.0,2.2,-0.7739095091819763,-0.1442575454711914,-6.877440452575684,7.868426322937012
DR,low_friction,0.0,2.22,-0.8590477108955383,0.018610000610351562,-6.2146430015563965,8.04421615600586
DR,low_friction,0.0,2.24,-0.3258528411388397,-0.03642463684082031,-6.612443923950195,9.01880931854248
DR,low_friction,0.0,2.2600000000000002,-0.28702521324157715,-0.750248908996582,-6.10624361038208,9.059818267822266
DR,low_friction,0.0,2.2800000000000002,-0.44742751121520996,-0.44830322265625,-4.283022403717041,9.658469200134277
DR,low_friction,0.0,2.3000000000000003,-0.8974143862724304,-0.15829181671142578,-5.582946300506592,8.851890563964844
DR,low_friction,0.0,2.32,-0.7758559584617615,0.5337257385253906,-7.571086406707764,7.309340476989746
DR,low_friction,0.0,2.34,-0.5732008814811707,-0.25820159912109375,-7.676097869873047,6.959531307220459
DR,low_friction,0.0,2.36,-1.0937234163284302,-0.3944854736328125,-7.3932719230651855,8.791337966918945
DR,low_friction,0.0,2.38,-1.0717437267303467,-0.06589698791503906,-6.243645668029785,9.09920597076416
DR,low_friction,0.0,2.4,-1.508918285369873,-0.14480209350585938,-4.554041862487793,7.636899471282959
DR,low_friction,0.0,2.42,-1.1307286024093628,0.3249378204345703,-6.692697525024414,7.386196136474609
DR,low_friction,0.0,2.44,-0.6262267231941223,-0.7273292541503906,-6.758125305175781,7.7634687423706055
DR,low_friction,0.0,2.46,-1.0937628746032715,-0.8270492553710938,-4.867931365966797,7.992712020874023
DR,low_friction,0.0,2.48,-0.9094697833061218,0.7179832458496094,-6.198038101196289,9.391385078430176
DR,low_friction,0.0,2.5,-0.685832679271698,0.20962142944335938,-5.863525867462158,8.736518859863281
DR,low_friction,0.0,2.52,-0.48503971099853516,-0.13045883178710938,-7.202179908752441,8.617626190185547
DR,low_friction,0.0,2.54,-0.44809696078300476,0.10669422149658203,-6.06654167175293,9.836023330688477
DR,low_friction,0.0,2.56,-0.8193957805633545,-0.1374654769897461,-7.1729912757873535,8.818395614624023
DR,low_friction,0.0,2.58,-0.333495557308197,0.979001522064209,-7.709371089935303,9.390750885009766
DR,low_friction,0.0,2.6,-0.5793471932411194,-0.5247249603271484,-7.255279541015625,8.6943998336792
DR,low_friction,0.0,2.62,-0.7075322866439819,-0.29857301712036133,-6.4145708084106445,6.61730432510376
DR,low_friction,0.0,2.64,-0.6302164793014526,-0.33905506134033203,-6.046139240264893,9.617568969726562
DR,low_friction,0.0,2.66,-0.25771790742874146,0.8909244537353516,-6.474915504455566,10.399733543395996
DR,low_friction,0.0,2.68,-0.023906284943223,-0.20324039459228516,-6.892828941345215,7.681524753570557
DR,low_friction,0.0,2.7,-0.2572789490222931,-0.5540251731872559,-7.085577011108398,6.899168014526367
DR,low_friction,0.0,2.72,-0.8385465145111084,-0.7878947257995605,-5.557629585266113,7.925854682922363
DR,low_friction,0.0,2.74,-0.9063165783882141,0.43552589416503906,-6.664225101470947,8.514480590820312
DR,low_friction,0.0,2.7600000000000002,-0.7859702706336975,0.1025094985961914,-7.715782165527344,9.100112915039062
DR,low_friction,0.0,2.7800000000000002,-0.8589470982551575,-0.21622991561889648,-6.73762845993042,8.440353393554688
DR,low_friction,0.0,2.8000000000000003,-1.183239221572876,-0.20304441452026367,-5.91264533996582,7.483644008636475
DR,low_friction,0.0,2.82,-0.6683376431465149,0.16573667526245117,-7.232348918914795,8.473008155822754
DR,low_friction,0.0,2.84,-1.4059767723083496,-0.6551551818847656,-5.973289489746094,7.764155387878418
DR,low_friction,0.0,2.86,-1.5847523212432861,-0.041358232498168945,-5.628726482391357,6.343282699584961
DR,low_friction,0.0,2.88,-1.215678334236145,0.5676000118255615,-7.555128574371338,8.345251083374023
DR,low_friction,0.0,2.9,-1.2384464740753174,-0.5149936676025391,-7.05362606048584,10.640920639038086
DR,low_friction,0.0,2.92,-1.9808769226074219,-0.9030537605285645,-6.291940212249756,7.317541599273682
DR,low_friction,0.0,2.94,-2.127415180206299,-0.3414919376373291,-4.220755100250244,6.890884876251221
DR,low_friction,0.0,2.96,-2.3707900047302246,0.4353761672973633,-5.694034099578857,8.328365325927734
DR,low_friction,0.0,2.98,-1.9397400617599487,-0.22468113899230957,-6.927399635314941,7.7555742263793945
DR,low_friction,0.0,3.0,-2.308985710144043,-0.7086572647094727,-6.096401691436768,7.846142292022705
DR,low_friction,0.0,3.02,-2.8575384616851807,-1.1069984436035156,-5.029168605804443,7.942934036254883
DR,low_friction,0.0,3.04,-2.7247207164764404,0.49726712703704834,-4.862317085266113,7.680797100067139
DR,low_friction,0.0,3.06,-2.5851876735687256,-0.4345250129699707,-5.641177177429199,7.392963409423828
DR,low_friction,0.0,3.08,-2.2030155658721924,0.38124507665634155,-5.496323108673096,6.843832492828369
DR,low_friction,0.0,3.1,-1.9542641639709473,0.04759418964385986,-5.805389404296875,9.061200141906738
DR,low_friction,0.0,3.12,-2.266810894012451,-0.31853413581848145,-4.932950496673584,10.72015380859375
DR,low_friction,0.0,3.14,-1.5036712884902954,0.4277522563934326,-7.023168087005615,8.406028747558594
DR,low_friction,0.0,3.16,-1.0132602453231812,0.10205483436584473,-7.70250940322876,7.932133197784424
DR,low_friction,0.0,3.18,-1.9474676847457886,-0.7672715187072754,-5.165159225463867,7.492165565490723
DR,low_friction,0.0,3.2,-1.7808598279953003,1.1572576761245728,-5.8531951904296875,7.377145290374756
DR,low_friction,0.0,3.22,-0.9560508131980896,-0.45361560583114624,-7.385085582733154,8.407552719116211
DR,low_friction,0.0,3.24,-1.385906457901001,-0.35847851634025574,-2.5279147624969482,8.174015045166016
DR,low_friction,0.0,3.2600000000000002,-1.5993741750717163,-0.14243084192276,-5.796712875366211,8.642172813415527
DR,low_friction,0.0,3.2800000000000002,-0.7291516065597534,1.0341713428497314,-7.0681023597717285,10.62702751159668
DR,low_friction,0.0,3.3000000000000003,-0.22437286376953125,0.05242055654525757,-6.745862007141113,8.616475105285645
