model_name,shift_set,trial_idx,command_vy,command_wz,survived,survival_steps,survival_time_s,termination_reason,rmse_vy,rmse_wz,mean_abs_pitch_deg,max_abs_pitch_deg,mean_abs_roll_deg,max_abs_roll_deg
nodr,mass_plus,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.02143259160220623,0.7756426930427551,3.2817282676696777,4.679495334625244,4.606316089630127,6.7427167892456055
nodr,mass_plus,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.030712461099028587,0.7825263142585754,2.7311387062072754,4.170163154602051,4.560864448547363,6.327477931976318
nodr,mass_plus,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.020611334592103958,0.7290098071098328,2.9393069744110107,4.935797214508057,4.670467853546143,6.535373210906982
nodr,mass_plus,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.026652684435248375,0.7006697058677673,2.9137582778930664,4.6973066329956055,4.643856048583984,6.428553104400635
nodr,mass_plus,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.024587510153651237,0.6972780227661133,3.0128965377807617,4.198237895965576,4.5785112380981445,6.258793354034424
nodr,mass_plus,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.02536039799451828,0.7840478420257568,3.10286021232605,4.799263000488281,4.371838569641113,6.404733657836914
nodr,mass_plus,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.021427804604172707,0.7801886796951294,3.1085565090179443,4.645478248596191,4.79101037979126,6.54836893081665
nodr,mass_plus,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.026874303817749023,0.6922224760055542,3.0039069652557373,4.356708526611328,4.566009521484375,6.8836774826049805
nodr,mass_plus,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0217787716537714,0.7589896321296692,2.974236249923706,3.9553370475769043,4.511003494262695,6.461061000823975
nodr,actuator_weak,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07696583122015,0.5681660771369934,4.569942474365234,5.620293617248535,2.755587100982666,3.8323047161102295
nodr,actuator_weak,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08541473746299744,0.525851309299469,4.597810745239258,5.643700122833252,2.637200117111206,3.946425676345825
nodr,actuator_weak,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07481436431407928,0.5228369235992432,4.561708450317383,5.697826385498047,2.9898035526275635,4.272336959838867
nodr,actuator_weak,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08204106986522675,0.5058912038803101,4.347235679626465,5.214168548583984,2.940659284591675,4.319639205932617
nodr,actuator_weak,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09085017442703247,0.4769427180290222,4.624326705932617,5.565151214599609,2.6420559883117676,3.8802881240844727
nodr,actuator_weak,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07774073630571365,0.5219531059265137,4.4744977951049805,5.6946563720703125,3.1672213077545166,4.324864864349365
nodr,actuator_weak,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07881906628608704,0.4620264172554016,4.433568000793457,5.826148509979248,2.918882131576538,4.21535587310791
nodr,actuator_weak,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08261889219284058,0.5269880890846252,4.395407199859619,5.17475700378418,2.9616739749908447,4.092584609985352
nodr,actuator_weak,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09482929855585098,0.5217986702919006,4.668527126312256,5.486554145812988,2.4639201164245605,4.009645462036133
nodr,actuator_weak,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08480437099933624,0.5249739289283752,4.479003429412842,5.683643817901611,2.7382962703704834,3.954071283340454
